Data,IPCA,PIB nominal
2015.01,"1,24","472913,9000"
2015.02,"1,22","460156,7000"
2015.03,"1,32","501752,2000"
2015.04,"0,71","486614,6000"
2015.05,"0,74","483239,7000"
2015.06,"0,79","486647,5000"
2015.07,"0,62","502275,2000"
2015.08,"0,22","492505,7000"
2015.09,"0,54","496004,7000"
2015.10,"0,82","518828,9000"
2015.11,"1,01","513819,8000"
2015.12,"0,96","521918,7000"
2016.01,"1,27","490284,0000"
2016.02,"0,90","491011,7000"
2016.03,"0,43","516985,9000"
2016.04,"0,61","508058,7000"
2016.05,"0,78","513267,5000"
2016.06,"0,35","536459,3000"
2016.07,"0,52","532947,8000"
2016.08,"0,44","534761,8000"
2016.09,"0,08","509975,0000"
2016.10,"0,26","525162,7000"
2016.11,"0,18","541530,7000"
2016.12,"0,30","565780,5000"
2017.01,"0,38","526564,7000"
2017.02,"0,33","514120,5000"
2017.03,"0,25","544312,9000"
2017.04,"0,14","525238,1000"
2017.05,"0,31","548887,7000"
2017.06,"-0,23","556814,3000"
2017.07,"0,24","557444,6000"
2017.08,"0,19","555565,5000"
2017.09,"0,16","528357,5000"
2017.10,"0,42","548455,5000"
2017.11,"0,28","565607,0000"
2017.12,"0,44","588530,7000"
2018.01,"0,29","553560,2000"
2018.02,"0,32","529690,4000"
2018.03,"0,09","557859,6000"
2018.04,"0,22","569688,1000"
2018.05,"0,40","560733,5000"
2018.06,"1,26","578698,4000"
2018.07,"0,33","597271,0000"
